,bias,sentiment,pos,PosScore,NegScore,Gloss,c2,bias probability,Unbiased probability,loglikelihood
38,"[16, 9]","[9, 1, 2, 8, 5]",n,0.0,0.0,the main tower within the walls of a medieval castle or fortress,keep,0.0012760853449743266,0.0021693265144653562,-0.5306196899205549
39,"[85, 36]","[43, 6, 3, 28, 41]",n,0.0,0.0,"the act of giving a talk to an audience; ""I attended an interesting talk on local history""",talk,0.004721515776405008,0.010974240014354155,-0.843420822467668
40,"[85, 36]","[43, 6, 3, 28, 41]",n,0.0,0.125,"an exchange of ideas via conversation; ""let's have more work and less talk around here""",talk,0.004721515776405008,0.010974240014354155,-0.843420822467668
41,"[85, 36]","[43, 6, 3, 28, 41]",n,0.0,0.125,"an exchange of ideas via conversation; ""let's have more work and less talk around here""",talk,0.004721515776405008,0.010974240014354155,-0.843420822467668
42,"[85, 36]","[43, 6, 3, 28, 41]",n,0.0,0.0,"discussion; (`talk about' is a less formal alternative for `discussion of'); ""his poetry contains much talk about love and anger""",talk,0.004721515776405008,0.010974240014354155,-0.843420822467668
43,"[85, 36]","[43, 6, 3, 28, 41]",n,0.0,0.0,"a discussion intended to produce an agreement; ""the buyout negotiation lasted several days""; ""they disagreed but kept an open dialogue""; ""talks between Israelis and Palestinians""",talk,0.004721515776405008,0.010974240014354155,-0.843420822467668
44,"[85, 36]","[43, 6, 3, 28, 41]",n,0.0,0.125,"idle gossip or rumor; ""there has been talk about you lately""",talk,0.004721515776405008,0.010974240014354155,-0.843420822467668
45,"[85, 36]","[43, 6, 3, 28, 41]",n,0.0,0.0,"a speech that is open to the public; ""he attended a lecture on telecommunications""",talk,0.004721515776405008,0.010974240014354155,-0.843420822467668
46,"[117, 205]","[179, 10, 37, 27, 69]",n,0.0,0.0,"women as a class; ""it's an insult to American womanhood""; ""woman is the glory of creation""; ""the fair sex gathered on the veranda""",woman,0.026287358106471127,0.01505767815923012,0.5572001054655317
47,"[117, 205]","[179, 10, 37, 27, 69]",n,0.0,0.0,"a human female employed to do housework; ""the char will clean the carpet""; ""I have a woman who comes in four hours a day while I write""",woman,0.026287358106471127,0.01505767815923012,0.5572001054655317
48,"[28, 27]","[24, 0, 8, 3, 20]",n,0.0,0.0,"the act of having on your person as a covering or adornment; ""she bought it for everyday wear""",wear,0.003573038965928114,0.003700615818793843,-0.03508275866965481
49,"[28, 27]","[24, 0, 8, 3, 20]",n,0.0,0.0,"the act of having on your person as a covering or adornment; ""she bought it for everyday wear""",wear,0.003573038965928114,0.003700615818793843,-0.03508275866965481
50,"[28, 27]","[24, 0, 8, 3, 20]",n,0.0,0.0,a covering designed to be worn on a person's body,wear,0.003573038965928114,0.003700615818793843,-0.03508275866965481
51,"[0, 3]","[2, 0, 1, 0, 0]",n,0.0,0.0,creating fabric,weave,0.0005104341379897306,0.0001276074420273739,1.386302922261506
52,"[0, 3]","[2, 0, 1, 0, 0]",n,0.0,0.0,pattern of weaving or structure of a fabric,weave,0.0005104341379897306,0.0001276074420273739,1.386302922261506
53,"[27, 71]","[90, 1, 1, 3, 3]",n,0.0,0.0,"people who are sick; ""they devote their lives to caring for the sick""",sick,0.009187814483815152,0.003573008376766469,0.9444701699824669
54,"[1952, 2697]","[2784, 157, 349, 427, 932]",n,0.0,0.0,the blood group whose red cells carry the A antigen,a,0.3442878260740733,0.24921733427946122,0.32315266703263773
55,"[1952, 2697]","[2784, 157, 349, 427, 932]",n,0.0,0.0,the 1st letter of the Roman alphabet,a,0.3442878260740733,0.24921733427946122,0.32315266703263773
56,"[1952, 2697]","[2784, 157, 349, 427, 932]",n,0.0,0.0,a United States territory on the eastern part of the island of Samoa,a,0.3442878260740733,0.24921733427946122,0.32315266703263773
57,"[3, 110]","[100, 2, 2, 0, 9]",n,0.0,0.0,slang for sexual intercourse,as,0.014164547329215025,0.0005104297681094956,3.3232444013340587
58,"[3, 110]","[100, 2, 2, 0, 9]",n,0.0,0.0,hardy and sure-footed animal smaller and with longer ears than the horse,as,0.014164547329215025,0.0005104297681094956,3.3232444013340587
59,"[3, 110]","[100, 2, 2, 0, 9]",n,0.0,0.0,"the fleshy part of the human body that you sit on; ""he deserves a good kick in the butt""; ""are you going to sit on your fanny and do nothing?""",as,0.014164547329215025,0.0005104297681094956,3.3232444013340587
60,"[3, 110]","[100, 2, 2, 0, 9]",n,0.25,0.25,a pompous fool,as,0.014164547329215025,0.0005104297681094956,3.3232444013340587
61,"[6, 225]","[206, 3, 1, 2, 19]",n,0.0,0.125,a person of subnormal intelligence,idiot,0.02883952879641978,0.0008932520941916173,3.474633411358588
62,"[47, 59]","[75, 2, 2, 8, 19]",n,0.0,0.0,the option to sell a given stock (or stock index or commodity future) at a given price before a given date,put,0.00765651206984596,0.006125157217313947,0.22315211245582503
63,"[47, 59]","[75, 2, 2, 8, 19]",n,0.0,0.0,"hitting a golf ball that is on the green using a putter; ""his putting let him down today; he didn't sink a single putt over three feet""",put,0.00765651206984596,0.006125157217313947,0.22315211245582503
64,"[0, 3]","[3, 0, 0, 0, 0]",n,0.0,0.0,a short knife with a pointed blade used for piercing or stabbing,sticker,0.0005104341379897306,0.0001276074420273739,1.386302922261506
65,"[0, 3]","[3, 0, 0, 0, 0]",n,0.0,0.5,a particularly difficult or baffling question or problem,sticker,0.0005104341379897306,0.0001276074420273739,1.386302922261506
66,"[0, 3]","[3, 0, 0, 0, 0]",n,0.0,0.125,an adhesive label,sticker,0.0005104341379897306,0.0001276074420273739,1.386302922261506
67,"[693, 1079]","[1119, 70, 146, 88, 349]",n,0.0,0.0,the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information,it,0.13781721725722726,0.08855956476699749,0.4422529207530762
68,"[3707, 2416]","[3218, 210, 383, 732, 1580]",n,0.0,0.0,the size of a book whose pages are made by folding a sheet of paper twice to form four leaves,to,0.3084298278802947,0.4731683950375024,-0.4279569848406475
69,"[1, 0]","[0, 0, 0, 0, 1]",n,0.0,0.0,the act of departing,go,0.00012760853449743264,0.0002552148840547478,-0.6931386194183299
70,"[1, 0]","[0, 0, 0, 0, 1]",n,0.0,0.0,"advancing toward a goal; ""persuading him was easy going""; ""the proposal faces tough sledding""",go,0.00012760853449743264,0.0002552148840547478,-0.6931386194183299
71,"[1, 0]","[0, 0, 0, 0, 1]",n,0.0,0.0,a board game for two players who place counters on a grid; the object is to surround and so capture the opponent's counters,go,0.00012760853449743264,0.0002552148840547478,-0.6931386194183299
72,"[1, 0]","[0, 0, 0, 0, 1]",n,0.0,0.0,"a usually brief attempt; ""he took a crack at it""; ""I gave it a whirl""",go,0.00012760853449743264,0.0002552148840547478,-0.6931386194183299
73,"[1, 0]","[0, 0, 0, 0, 1]",n,0.0,0.0,street names for methylenedioxymethamphetamine,go,0.00012760853449743264,0.0002552148840547478,-0.6931386194183299
74,"[1, 0]","[0, 0, 0, 0, 1]",n,0.0,0.25,"euphemistic expressions for death; ""thousands mourned his passing""",go,0.00012760853449743264,0.0002552148840547478,-0.6931386194183299
75,"[6, 185]","[181, 0, 1, 1, 8]",n,0.0,0.0,slang for sexual intercourse,fuck,0.023735187416522474,0.0008932520941916173,3.2798450857995034
76,"[6, 185]","[181, 0, 1, 1, 8]",n,0.0,0.0,slang for sexual intercourse,fuck,0.023735187416522474,0.0008932520941916173,3.2798450857995034
77,"[163, 379]","[403, 29, 26, 17, 67]",n,0.0,0.0,"(plural) any group of human beings (men or women or children) collectively; ""old people""; ""there were at least 200 people in the audience""",people,0.04849124310902441,0.02092762049248932,0.8403133860378484
78,"[163, 379]","[403, 29, 26, 17, 67]",n,0.0,0.0,"the human beings of a particular nation or community or ethnic group; ""the indigenous peoples of Australia""",people,0.04849124310902441,0.02092762049248932,0.8403133860378484
79,"[163, 379]","[403, 29, 26, 17, 67]",n,0.0,0.0,"members of a family line; ""his people have been farmers for generations""; ""are your people still alive?""",people,0.04849124310902441,0.02092762049248932,0.8403133860378484
80,"[163, 379]","[403, 29, 26, 17, 67]",n,0.0,0.0,"the body of citizens of a state or country; ""the Spanish people""",people,0.04849124310902441,0.02092762049248932,0.8403133860378484
81,"[163, 379]","[403, 29, 26, 17, 67]",n,0.0,0.0,"the common people generally; ""separate the warriors from the mass""; ""power to the people""",people,0.04849124310902441,0.02092762049248932,0.8403133860378484
82,"[156, 438]","[412, 17, 33, 22, 110]",n,0.0,0.0,"a kind of person; ""We'll not see his like again""; ""I can't tolerate people of his ilk""",like,0.05602014664437294,0.020034368398297704,1.0282621688684785
83,"[156, 438]","[412, 17, 33, 22, 110]",n,0.125,0.0,"a similar kind; ""dogs, foxes, and the like"", ""we don't want the likes of you around here""",like,0.05602014664437294,0.020034368398297704,1.0282621688684785
84,"[156, 438]","[412, 17, 33, 22, 110]",n,0.5,0.25,"a feeling of pleasure and enjoyment; ""I've always had a liking for reading""; ""she developed a liking for gin""",like,0.05602014664437294,0.020034368398297704,1.0282621688684785
85,"[2, 1753]","[1446, 22, 57, 38, 192]",n,0.0,0.0,a protocol (utilizing TCP) to transfer hypertext requests and information between servers and browsers,http,0.22382536950849688,0.0003828223260821217,6.371050445405634
86,"[439, 2590]","[2400, 85, 138, 73, 333]",n,0.0,0.0,"hormone produced by the thyroid glands to regulate metabolism by controlling the rate of oxidation in cells; ""thyroxine is 65% iodine""",t,0.330633712882848,0.05614727449204451,1.7730330147914184
87,"[439, 2590]","[2400, 85, 138, 73, 333]",n,0.0,0.0,thyroid hormone similar to thyroxine but with one less iodine atom per molecule and produced in smaller quantity; exerts the same biological effects as thyroxine but is more potent and briefer,t,0.330633712882848,0.05614727449204451,1.7730330147914184
88,"[439, 2590]","[2400, 85, 138, 73, 333]",n,0.0,0.0,the 20th letter of the Roman alphabet,t,0.330633712882848,0.05614727449204451,1.7730330147914184
89,"[22, 1756]","[1450, 23, 63, 42, 200]",n,0.0,0.0,lettuce with long dark-green leaves in a loosely packed elongated head,co,0.22420819511198917,0.0029349711666295996,4.335877433399562
90,"[22, 1756]","[1450, 23, 63, 42, 200]",n,0.0,0.0,a state in west central United States in the Rocky Mountains,co,0.22420819511198917,0.0029349711666295996,4.335877433399562
91,"[22, 1756]","[1450, 23, 63, 42, 200]",n,0.0,0.0,one who refuses to serve in the armed forces on grounds of conscience,co,0.22420819511198917,0.0029349711666295996,4.335877433399562
92,"[226, 221]","[254, 18, 39, 24, 112]",n,0.0,0.0,concentration measured by the number of moles of solute per liter of solution,m,0.02832909465843005,0.028966889340213877,-0.02226407446750798
93,"[226, 221]","[254, 18, 39, 24, 112]",n,0.0,0.0,a form of address for a woman,m,0.02832909465843005,0.028966889340213877,-0.02226407446750798
94,"[226, 221]","[254, 18, 39, 24, 112]",n,0.0,0.0,the form of a literary work submitted for publication,m,0.02832909465843005,0.028966889340213877,-0.02226407446750798
95,"[226, 221]","[254, 18, 39, 24, 112]",n,0.0,0.0,a master's degree in science,m,0.02832909465843005,0.028966889340213877,-0.02226407446750798
96,"[226, 221]","[254, 18, 39, 24, 112]",n,0.0,0.0,the 13th letter of the Roman alphabet,m,0.02832909465843005,0.028966889340213877,-0.02226407446750798
97,"[226, 221]","[254, 18, 39, 24, 112]",n,0.0,0.0,a state in the Deep South on the gulf of Mexico; one of the Confederate States during the American Civil War,m,0.02832909465843005,0.028966889340213877,-0.02226407446750798
98,"[181, 48]","[66, 3, 11, 33, 116]",n,0.0,0.0,the act of observing; taking a patient look,watch,0.0062528181903742,0.02322455444898205,-1.3121778278245535
99,"[181, 48]","[66, 3, 11, 33, 116]",n,0.0,0.0,a purposeful surveillance to guard or observe,watch,0.0062528181903742,0.02322455444898205,-1.3121778278245535
100,"[181, 48]","[66, 3, 11, 33, 116]",n,0.0,0.0,the rite of staying awake for devotional purposes (especially on the eve of a religious festival),watch,0.0062528181903742,0.02322455444898205,-1.3121778278245535
101,"[181, 48]","[66, 3, 11, 33, 116]",n,0.0,0.0,a small portable timepiece,watch,0.0062528181903742,0.02322455444898205,-1.3121778278245535
102,"[181, 48]","[66, 3, 11, 33, 116]",n,0.0,0.0,a person employed to keep watch for some anticipated event,watch,0.0062528181903742,0.02322455444898205,-1.3121778278245535
103,"[1, 34]","[34, 0, 0, 1, 0]",a,0.0,0.0,"having the supreme power lying in the body of citizens entitled to vote for officers and representatives responsible to them or characteristic of such government; ""the United States shall guarantee to every state in this union a republican form of government""- United States Constitution; ""a very republican notion""; ""so little republican and so much aristocratic sentiment""- Philip Marsh; ""our republican and artistic simplicity""-Nathaniel Hawthorne",republican,0.004466298707410143,0.0002552148840547478,2.8622094420710837
104,"[1, 34]","[34, 0, 0, 1, 0]",a,0.0,0.0,"relating to or belonging to the Republican Party; ""a Republican senator""; ""Republican party politics""",republican,0.004466298707410143,0.0002552148840547478,2.8622094420710837
105,"[3, 27]","[24, 0, 3, 1, 2]",n,0.0,0.0,a tributary of the Kansas River that flows from eastern Colorado eastward through Nebraska and Kansas,republican,0.003573038965928114,0.0005104297681094956,1.9459187101969286
106,"[33, 59]","[59, 2, 3, 12, 16]",n,0.0,0.0,"an occasion on which people can assemble for social interaction and entertainment; ""he planned a party to celebrate Bastille Day""",party,0.00765651206984596,0.0043386530289307125,0.5679925987475547
107,"[33, 59]","[59, 2, 3, 12, 16]",n,0.0,0.0,"a group of people gathered together for pleasure; ""she joined the party after dinner""",party,0.00765651206984596,0.0043386530289307125,0.5679925987475547
108,"[33, 59]","[59, 2, 3, 12, 16]",n,0.0,0.0,"an organization to gain political power; ""in 1992 Perot tried to organize a third party at the national level""",party,0.00765651206984596,0.0043386530289307125,0.5679925987475547
109,"[33, 59]","[59, 2, 3, 12, 16]",n,0.0,0.0,"a band of people associated temporarily in some activity; ""they organized a party to search for food""; ""the company of cooks walked into the kitchen""",party,0.00765651206984596,0.0043386530289307125,0.5679925987475547
110,"[1, 0]","[0, 0, 1, 0, 0]",n,0.0,0.0,an act performed to strengthen approved behavior,reward,0.00012760853449743264,0.0002552148840547478,-0.6931386194183299
111,"[1, 0]","[0, 0, 1, 0, 0]",n,0.0,0.0,"benefit resulting from some event or action; ""it turned out to my advantage""; ""reaping the rewards of generosity""",reward,0.00012760853449743264,0.0002552148840547478,-0.6931386194183299
112,"[1, 0]","[0, 0, 1, 0, 0]",n,0.0,0.0,the offer of money for helping to find a criminal or for returning lost property,reward,0.00012760853449743264,0.0002552148840547478,-0.6931386194183299
113,"[1, 0]","[0, 0, 1, 0, 0]",n,0.625,0.0,"a recompense for worthy acts or retribution for wrongdoing; ""the wages of sin is death""; ""virtue is its own reward""",reward,0.00012760853449743264,0.0002552148840547478,-0.6931386194183299
114,"[2, 36]","[32, 0, 1, 2, 3]",n,0.0,0.0,the doctrine that the numerical majority of an organized group can make decisions binding on the whole group,democracy,0.004721515776405008,0.0003828223260821217,2.51231418511773
115,"[2, 36]","[32, 0, 1, 2, 3]",n,0.0,0.0,the political orientation of those who favor government by the people or by their elected representatives,democracy,0.004721515776405008,0.0003828223260821217,2.51231418511773
116,"[2, 36]","[32, 0, 1, 2, 3]",n,0.0,0.0,a political system in which the supreme power lies in a body of citizens who can elect people to represent them,democracy,0.004721515776405008,0.0003828223260821217,2.51231418511773
117,"[0, 8]","[7, 0, 0, 0, 1]",n,0.0,0.375,a stupid person; these words are used to express a low opinion of someone's intelligence,dumbass,0.001148476810476894,0.0001276074420273739,2.1972331384778347
118,"[0, 2]","[2, 0, 0, 0, 0]",n,0.0,0.375,an unbroken or imperfectly broken mustang,bronco,0.00038282560349229796,0.0001276074420273739,1.098620849809725
119,"[64, 49]","[76, 5, 3, 3, 26]",n,0.0,0.0,a device for creating a current of air by movement of a surface or surfaces,fan,0.006380426724871633,0.008294483731779304,-0.26235570332587577
120,"[64, 49]","[76, 5, 3, 3, 26]",n,0.0,0.0,an ardent follower and admirer,fan,0.006380426724871633,0.008294483731779304,-0.26235570332587577
121,"[0, 16]","[15, 0, 0, 0, 1]",n,0.0,0.0,a commitment to tell the truth (especially in a court of law); to lie under oath is to become subject to prosecution for perjury,swear,0.002169345086456355,0.0001276074420273739,2.8332219051978313
122,"[0, 16]","[15, 0, 0, 0, 1]",n,0.0,0.375,"profane or obscene expression usually of surprise or anger; ""expletives were deleted""",swear,0.002169345086456355,0.0001276074420273739,2.8332219051978313
123,"[2, 0]","[0, 0, 0, 2, 0]",n,0.375,0.0,(statistics) the selection of a suitable sample for study,sample,0.00012760853449743264,0.0003828223260821217,-1.0986037275264944
124,"[2, 0]","[0, 0, 0, 2, 0]",n,0.0,0.0,measurement at regular intervals of the amplitude of a varying waveform (in order to convert it to digital form),sample,0.00012760853449743264,0.0003828223260821217,-1.0986037275264944
125,"[2, 0]","[0, 0, 0, 2, 0]",n,0.0,0.0,a small part of something intended as representative of the whole,sample,0.00012760853449743264,0.0003828223260821217,-1.0986037275264944
126,"[2, 0]","[0, 0, 0, 2, 0]",n,0.0,0.0,items selected at random from a population and used to test hypotheses about the population,sample,0.00012760853449743264,0.0003828223260821217,-1.0986037275264944
127,"[2, 0]","[0, 0, 0, 2, 0]",n,0.0,0.0,items selected at random from a population and used to test hypotheses about the population,sample,0.00012760853449743264,0.0003828223260821217,-1.0986037275264944
128,"[2, 0]","[0, 0, 0, 2, 0]",n,0.0,0.0,all or part of a natural object that is collected and preserved as an example of its class,sample,0.00012760853449743264,0.0003828223260821217,-1.0986037275264944
129,"[2, 3]","[5, 0, 0, 0, 0]",n,0.0,0.0,holding device consisting of one or both of the opposing parts of a tool that close to hold an object,jaw,0.0005104341379897306,0.0003828223260821217,0.2876906335933962
130,"[2, 3]","[5, 0, 0, 0, 0]",n,0.0,0.0,the part of the skull of a vertebrate that frames the mouth and holds the teeth,jaw,0.0005104341379897306,0.0003828223260821217,0.2876906335933962
131,"[2, 3]","[5, 0, 0, 0, 0]",n,0.0,0.0,the bones of the skull that frame the mouth and serve to open it; the bones that hold the teeth,jaw,0.0005104341379897306,0.0003828223260821217,0.2876906335933962
132,"[24, 12]","[25, 0, 3, 0, 8]",n,0.0,0.0,"the act of pulling; applying force to move something toward or with you; ""the pull up the hill had him breathing harder""; ""his strenuous pulling strained his back""",pull,0.0016589109484666245,0.0031901860506843476,-0.6539179062650489
133,"[24, 12]","[25, 0, 3, 0, 8]",n,0.0,0.0,"the act of pulling; applying force to move something toward or with you; ""the pull up the hill had him breathing harder""; ""his strenuous pulling strained his back""",pull,0.0016589109484666245,0.0031901860506843476,-0.6539179062650489
134,"[24, 12]","[25, 0, 3, 0, 8]",n,0.0,0.375,"a sustained effort; ""it was a long pull but we made it""",pull,0.0016589109484666245,0.0031901860506843476,-0.6539179062650489
135,"[24, 12]","[25, 0, 3, 0, 8]",n,0.0,0.0,"a slow inhalation (as of tobacco smoke); ""he took a puff on his pipe""; ""he took a drag on his cigarette and expelled the smoke slowly""",pull,0.0016589109484666245,0.0031901860506843476,-0.6539179062650489
136,"[24, 12]","[25, 0, 3, 0, 8]",n,0.0,0.0,"a device used for pulling something; ""he grabbed the pull and opened the drawer""",pull,0.0016589109484666245,0.0031901860506843476,-0.6539179062650489
137,"[24, 12]","[25, 0, 3, 0, 8]",n,0.125,0.0,"special advantage or influence; ""the chairman's nephew has a lot of pull""",pull,0.0016589109484666245,0.0031901860506843476,-0.6539179062650489
138,"[0, 2]","[2, 0, 0, 0, 0]",n,0.0,0.0,a firearm that is held and fired with one hand,pistol,0.00038282560349229796,0.0001276074420273739,1.098620849809725
139,"[125, 126]","[127, 12, 20, 36, 56]",n,0.125,0.0,"the act of directing the eyes toward something and perceiving it visually; ""he went out to have a look""; ""his look was fixed on her eyes""; ""he gave it a good looking at""; ""his camera does his looking for him""",look,0.016206283881173948,0.016078537695449112,0.0079137406487286
