,class,tweet,score,sim
17826,1,RT @TrakkBoiDelf: RT @49ant: when you tryna get bitches on LinkedIn http://t.co/UW3R0sNjvk,2.5455398327460506,0.0
1206,2,&#8220;@DIYcookery: Oreo cookies&#128523; http://t.co/8zcjWW56Zz&#8221;bruh &#128525;&#128539;&#128553;,0.0,0.0
15741,2,RT @Jakelewis44_: We don't luv deez hoes&#128527; http://t.co/oFjlxAO5SF,0.0,0.0
256,1,"""@TheRealRickyB21: @JetsAndASwisher @Gook____ y'all come through the front.""bitch I ain't coming",0.6654147117550229,0.0
1278,1,&#8220;@GiantRaiderKing: @nomaambundy92 fag&#8221; but Tony :(,0.0,0.0
1277,2,&#8220;@GianneNichole: Lakers really trash.&#8221;&#128686;,0.0,0.0
13161,1,My wigga... http://t.co/1pbGYaoW3N,0.0,0.0
4758,0,@StephyRae7 faggot.,0.0,0.0
15646,2,RT @ImaPlainJane: @SimplySoulful Uncle Charlie and nem lol,0.0,0.0
8442,2,Charlie xcx is bae,0.0,0.0
16228,1,RT @LiloNoSnitch_: &#128514;&#128514;&#128514;bitch bye&#128530;,0.0,0.0
2590,1,@BigDaddySniper you far asf too nigguh,0.0,0.0
17692,1,"RT @TheOneMiss_Luu: ""@ryrystine: Aye everyone buy some bombass brownies tomorrow from my wigga @JacklynAnnn"" They don't contain marijuana b&#8230;",-1.7272123869488685,0.0
24311,1,okc nigguh,0.0,0.0
16210,1,"RT @LilBro___: ""pussy""&#128514;&#128557;&#128557; https://t.co/X4f6VA7g5q",0.0,0.0
6253,1,@jesjosie Eff dem hos.,0.0,0.0
16178,0,RT @Leslieeeixta: Bdubs is packed with beaners &#128557;&#128514;,0.0,0.0
3548,1,@JAYREIDOFFICIAL my nicca!,0.0,0.0
4717,1,@SlumLord_Laffy bitch.....k?,0.0,0.0
8425,2,Charlie Furbush #WhyDidIGoogle @midnight,0.0,0.0
4716,1,@SlowDollaz photoshop my nig,0.0,0.0
17759,1,RT @Things4WhitePpl: Being pussy-whipped http://t.co/55BxG7PBNG,0.0,0.0
6281,2,@jonsweethearts how are you Argie?,0.0,0.0
22124,0,This nigglet &#10084;&#65039;,0.0,0.0
3214,1,@Fulf_ShawnFulf peckerwood,0.0,0.0
6290,1,@joshkline1992 that's my nig nog,0.0,0.0
22122,1,This niggah seems really clingy... Mhmm idk about that ! &#128563;&#128582;&#128581;,0.0,0.0
3534,1,@ItsMeKevin10 @josie618 @ThatSlutAdrian @ZaidSaracini @papigabs lmao this nigguh,0.0,0.0
6341,1,@karlamorenoo my niggah my niggah lol,0.0,0.0
15748,1,"RT @Jamilaahhh: These hoes be twerkin for Birkin, poppin coochie for Gucci, bustin wide for that Prada, Bendin over for Louis",0.818327445797182,0.0
18187,1,"RT @YoungCoke__: ""@1stBlocJeremiah: @1stBlock_Rody yu ah hoe""lmfao,",0.0,0.0
4780,2,@SteveWorks4You pay your taxes teabaggers,0.0,0.0
21572,2,The jig,0.0,0.0
12928,1,Murda mook!!!!,0.0,0.0
7168,0,@theshardyrebel #faggot,0.0,0.0
2206,2,1-800-slap-a-hoe,0.0,0.0
4081,1,@MichaelFraughto haha faggot,0.0,0.0
4635,1,@SammySkinner hey nig,0.0,0.0
8543,2,Craving brownies &#128553;&#128553;,0.0,0.0
3597,0,@JaiBrooks1 faggot,0.0,0.0
6962,2,@samzbikowski chug ranch,0.0,0.0
20161,1,"RT @thejokerxo: &#128064;&#127939; ""@Weed_Cloudz: Does SZA have freckles on her pussy too?""",0.847306421528819,0.0
4828,2,@TNKidsFoodPorn @Oreo ..............&#128530;,0.0,0.0
13053,1,"My honky, my honky. My motherfucking honky.",0.0,0.0
3592,1,@JacobbBacker faggot,0.0,0.0
3130,1,@EricWithAHotDad faggot,0.0,0.0
16977,1,RT @QwestsideFoolay: &#8220;@MiraGotTheJUICE: Woah did this bitch say love?&#128566;&#128514;&#128514;&#128557;&#128557; http://t.co/1NZDVTQSUy&#8221; &#128514;&#128514;&#128514;,2.5455398327460506,0.0
19734,2,"RT @navy8r: ""@Sierra0559: Hey @BarackObama , the jig is up. Even democrats are through with you. #ReasonToExitAnObamaSpeech"" dems are raci&#8230;",1.5260648646366646,0.0
19626,2,RT @manchild1077: Oreo Speedwagon #FatBands,0.0,0.0
7095,2,@strawberrycoca ling ling krunkchip,0.0,0.0
6150,2,@idochips honky tonk badonka ankh,0.0,0.0
2559,1,@Barbod6FCB. Wigga wigga wigga wigga wigga,0.0,0.0
872,2,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Desi | paki http://t.co/XxcdQvzI9t",0.0,0.0
873,2,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Desi | paki http://t.co/cOfGRtW9br",0.0,0.0
6161,1,@ilovetmills faggot,0.0,0.0
24239,1,my nigguh wtf,0.0,0.0
22924,2,Wicked Oreo,0.0,0.0
1917,1,&#8220;@tay_torrez &amp; wealthy? RT @DrTruth247: My aunt said I'm handsome fuck you hoes&#8221;broke,3.2798450857995034,0.0
15594,2,"RT @Iaughatmypain: My anaconda don't &#128581;
My anaconda don't &#9995;
My anaconda don't &#128683;

&#128079; Want 
&#128079; None 
&#128079; Unless 
&#128079; You 
&#128079; Got 

&#127838;&#127838;&#127838; Bunz &#127838;&#127838;&#127838;

&#128129;Hun",1.4581760446327654,0.0
9215,1,Fucc nicca,0.0,0.0
17855,2,RT @TrucksHorsesDog: Coincky~dink http://t.co/53bnMFYQZA,0.0,0.0
21573,2,The jigg is up,0.0,0.0
248,2,"""@TEE_JONEZ: @KingCuh @16stanleys I'm not mad cuh hahaha"" suure.. tuku ho ita! &#128514;&#128514;",0.0,0.0
3665,2,@JjLoveUp tranny,0.0,0.0
4677,0,@SexWith_SocksOn faggot,0.0,0.0
1477,2,&#8220;@RaleighBeougher: dumb beaner&#8221; http://t.co/r0hABEQhSu,0.0,0.0
2348,0,@AGreasyMonkey @Huntermoore faggot,0.0,0.0
22579,1,Westside nicca!,0.0,0.0
1590,1,&#8220;@UCCrushes: Trenton Gossman is the sexiest hillbilly I have ever seen&#8221; &#128129;&#128514;&#128514;&#128514;,0.6654147117550229,0.0
15140,0,RT @FAAMMoverALL: This nigguh Chris Paul,0.0,0.0
6648,1,@mayhemmiller faggot,0.0,0.0
1588,1,&#8220;@Tyga: That ain't my hoe.&#8221;,0.0,0.0
1586,1,&#8220;@TwittahCween: Always tryna degrade girls&amp;shit &#128530; when really..pussy&amp;ass is almost all yall think about so shuuutt iittt .&#8221; Sometimes,1.0065461708635486,0.0
2731,1,@CRYaboutitNIGGA waddup doe Lil nicca,0.0,0.0
4464,1,@RAEPaelMunturo @WorldStarFunny aye sae en feeld kawkin dyke,0.0,0.0
8201,2,Brownies brownies brownies,0.0,0.0
20038,1,"RT @socass_: &#8220;@00sexilexi00: @socass_ I SANG FOR YOU, YOU NAZI&#8221;

*beaner",0.6654147117550229,0.0
5233,1,@YunGMiGo @BigMoneyNiquee &#128530; nicca fucc yu,0.0,0.0
1725,1,&#8220;@coffincreepxx: @WhatAreOllies niggah you friendzoned&#8221; daaaaaaaam.. &#128532;,0.0,0.0
18395,1,"RT @___TheFuckery: ""@187XO_: ' You messin with broke niggahs you gon be broke niggah &#1043323;&#1043323;&#1043323;&#1043323;&#10071;&#65039;"" nigga preeeeeeeach ! !",4.348133644139816,0.0
2891,1,@Conrad_MLG im goin now so be expecting to get slept faggot,-0.4279569848406475,0.0
5574,1,@baaaabyshaaaay_ My niggah!!,0.0,0.0
16080,2,RT @Kstar__: Told you RT @Astronaut_Tone: Artprize is more than trash,2.036890488402656,0.0
5581,1,@badluckbella_ that's lil nig &#128526;,0.0,0.0
6613,1,@maccabeez thanks...bitch.,0.0,0.0
1728,2,&#8220;@coltscommunity @Pacers @nflcolts @indystar #CHUCKSTRONG #GoldSwagger http://t.co/6q5wm3VU&#8221; thats awesome &#127936;+&#127944;=&#128077;&#128076;&#9757; #hoosiers,0.0,0.0
22606,1,What is up my twitta niccas!,0.0,0.0
18733,2,"RT @cenopant: (she)s 
bro(was)ken
bec(a)use
s(side)he
beli(hoe)ved",0.0,0.0
6610,1,@m_gast faggot,0.0,0.0
5597,1,@beenlame @FuckTraVonn faggot,0.0,0.0
6604,1,@lucioxnava how about darkskin dykes?,0.0,0.0
6602,0,@lucas_wright955 @MichaelGT03 faggots,0.0,0.0
2912,0,@CsSalazar15 wetback &#128513;&#128514;&#128514;&#128514;&#128514;&#128557;,0.0,0.0
14056,1,RT @A2daO: When dykes surround you https://t.co/yWegZs78Om,0.0,0.0
15214,2,RT @FoodPornsx: Oreo Drumstick! http://t.co/AcN8J59r6b,0.0,0.0
21747,2,These brownies http://t.co/iyqRBn2AMf,0.0,0.0
15120,0,RT @ErikCochrane: @tonydecola &#128514;&#128514; my nig,0.0,0.0
5381,0,@_____0__o______ faggot,0.0,0.0
16587,2,RT @NFL_Memes: Buckwheat and Porky http://t.co/bo96nelS2P,0.0,0.0
3806,1,@Kenny__Wright @sincerelyayla faggot,0.0,0.0
1038,1,&#128557; RT @That_Mclovin: &#8220;Yass bitch Yass &#128128;&#128128; @VikkiNoSecrets: Too soon? &#128514;&#8221;,2.5455398327460506,0.0
1671,1,&#8220;@__thaRealist: Lil bitty bitch&#8221; &#128079;&#128079;&#128079;&#128079;&#128079;lingo,0.0,0.0
5425,2,@_spenceyy @5SOS not scanger,0.0,0.0
13993,1,RT @1CaptainDrew: Supp wigga,0.0,0.0
6698,2,@mis_sarahd @basedpapi1017 tranny,0.0,0.0
18523,1,RT @airam12_: &#8220;@T_ReV_13: Some of you bitches are DUMBBBB&#8221; they are everywhere trev. &#128530;,2.5455398327460506,0.0
5321,1,@_Leeyoo what niggah,0.0,0.0
11406,0,I'm sure @AFP would add this helpful parenthetical explanation if these were redneck peckerwood teabaggers. https://t.co/zkqg5WfE5R,0.5108341849076061,0.0
17341,1,"RT @Slygirl08: You say &#8220;potato&#8221;, your pimp says &#8220;put out, ho&#8221;.",-0.0571498526983331,0.0
17354,2,RT @SneakerPics23: Oreo 6's http://t.co/Jx9DD9oahY,0.0,0.0
15952,2,"RT @KapreceSun: where my 2 favorite jiggers at? @S_hawn24, @Satisfied_x ? &#128514;&#128514;&#128514; https://t.co/unNm233mFQ",-0.6061272424287003,0.0
6759,1,"@nekolin @DestroTheNoble naaaa, just the faggots! So....I guess you wouldn't be around very long....would ya!",0.9444701699824668,0.0
22023,2,This brownies bro,0.0,0.0
1697,1,&#8220;@annijohnesce: @100046729 grow up bitch &#128514;&#128514;&#128514;&#128514;&#8221; &#128514;&#128514;&#128514;&#128128; they was cute &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;,2.5455398327460506,0.0
16028,2,RT @KingCuh: ouuua ita siana. alu polosi ho nifo NAMU TA'E.,0.0,0.0
13981,1,RT @05proFESSOR: @idontbekaren @kelseysocrazy .... this is what all of my bitches say hahaha http://t.co/dHK7eU97Dc,2.5455398327460506,0.0
5490,0,@alexissert leave dyke,0.0,0.0
24119,2,jig levitating for lousiville,0.0,0.0
17366,2,RT @Solyybee_: Lmfao RT&#8220;@macktology101: Alco(ho)l&#8221;,0.0,0.0
20318,1,RT @whodatth0: &#8220;@AAAdontplayy: lmfao hicks https://t.co/kNa2U0D2o0&#8221;lmfao,0.0,0.0
5511,0,@alyssawiens faggot,0.0,0.0
3740,1,@Jwreich142 @SteveWorks4You teabaggers are extremely dumb...,0.0,0.0
5513,0,@amarierubio chink eyed !,0.0,0.0
13113,1,My niggah,0.0,0.0
24124,1,just got done biking with my dyke,0.0,0.0
18361,1,RT @_VodkaThoughts_: shego was the baddest bitch of my childhood&#128293; http://t.co/fiigh50DEj,2.5455398327460506,0.0
8897,1,Dumb nigguh,0.0,0.0
16487,1,RT @MitchVorce: Bastino is my niggah&#128661;,0.0,0.0
21287,2,Taria the filterless sis.dari the angelic sis.im the big bro lol and jigg lil bro&#128553;,-0.5360767293836133,0.0
5693,2,@carolinebakkk those were bumblebees....,0.0,0.0
5134,1,@Wes_vL faggot,0.0,0.0
5133,1,@WendyGAv says the pedophile promoting dolt. LMAO #teabagger,0.0,0.0
3457,1,@ILIKECATS74 @bootyacid @sizzurp__ @yoPapi_chulo @brandonernandez because you're the ratchetest of them all bitch,2.5455398327460506,0.0
12478,1,Lmao &#128075;RT @FreakyT252: &#8220;@VonshayeB: My nicca! RT @FreakyT252: &#127936;&#127936;&#127936;&#8221; wat fool??,1.098620849809725,0.0
12714,2,Making brownies,0.0,0.0
9930,2,"How now, gung-ho?",0.0,0.0
5118,1,@Walken4GOP your not so godly after all u fuckin redneck peckerwood.,-0.4376136586010804,0.0
24578,1,this ho on Lifetime cray,0.0,0.0
21293,1,Tbt nigguh http://t.co/opuvGy5BJF,0.0,0.0
1510,1,&#8220;@Sam_James3: @khalilreed @aknadnrye don't get on bro http://t.co/qjJvynwQiO&#8221; when bae textin another nigger,2.302593654135661,0.0
13116,1,My niggah my niggah...,0.0,0.0
6555,0,@lcxancilleri faggot,0.0,0.0
5105,1,@Viri_BraceFacee wassup niggah,0.0,0.0
5746,2,@cleggzta Ho ho ho.,0.0,0.0
16452,1,RT @MikeDevrnja: &#8220;@SavannaaSanford: sucha hoe&#8221; @GAYD69,0.0,0.0
13119,1,My nigguh,0.0,0.0
5102,1,@Viri_BraceFacee my niggah my niggah lol &#128074;,0.0,0.0
7348,2,@xtruthseekerx_ blaxican,0.0,0.0
8760,1,"Do we love these hoes?

&#128514; &#128514; &#128514;&#128514;&#128514;
&#128514;&#128514; &#128514; &#128514; &#128514;
&#128514; &#128514; &#128514; &#128514; &#128514;
&#128514; &#128514;&#128514; &#128514; &#128514;
&#128514; &#128514; &#128514;&#128514;&#128514;",0.0378382550820886,0.0
23469,0,You're just another nigguh.,0.0,0.0
598,2,"""Yaoooooooo @yea_im_JAMAICAN: Mawnin yardies! &#128154;&#128155;&#128536;""",0.0,0.0
6545,1,@lajazz7 bitch&#128545;,0.0,0.0
14601,0,RT @Carlozxivir: @VocaToaster ching chong,0.0,0.0
7690,1,Always broke niccas how yu Robbin,0.0,0.0
5073,2,@UdrewhendersonU Nope. Super chocolatey yummy brownies.,0.0,0.0
2519,1,@BB16ZachRance @ArianaGrande oh&gt;&gt;&gt;&gt;&gt; so that's the bald bitch&lt;&lt;&lt;&lt;&lt;&lt;&lt;,0.0,0.0
2943,1,@DaJetlyfe my nicca,0.0,0.0
18268,1,RT @_ConnerJay: Ho ho ho bitches Merry 4 months-ish until Christmas. http://t.co/4JCiu8vHzV,2.5455398327460506,0.0
24631,1,u-bitch-u,0.0,0.0
7396,1,@zlyouell @SpongeBobVlnes dyke ron&#128109;&#128111;&#128514;,0.0,0.0
3703,1,@Juice__2 faggot,0.0,0.0
15223,1,RT @Foreverandix: &#8220;@Vikyfdez15: @Foreverandix today at 10am&#8221; bitch do your Hw!,2.5455398327460506,0.0
24157,1,lmao I'm weakkk &#8220;@TakeIt_CERIOUS: &#8220;@AnayaL8ter: My pussy popz Severely https://t.co/1VtqX9ioxK&#8221; LMFAOOOOOOOO&#8221;,0.847306421528819,0.0
3885,2,@LandonVanBus Charlie Day?,0.0,0.0
17449,1,RT @Stfu_NobodyCare: &#128514;&#128514;&#128514;&#128514;&#128514;&#128514; &#8220;bird fucking&#8221;,0.0,0.0
22412,1,Vandalize that pussy.It's on.,0.0,0.0
5163,1,@Worth_BILLions @MystroApollo &#128514;bitch you always hatin lmao,0.0,0.0
5154,1,@Woahitsjulian whatchu doin today nig?,0.0,0.0
5672,1,@bsails33 dyke ron&#127752;&#127917;&#128514;,0.0,0.0
8859,2,Drita is that nicca! Lmao,0.0,0.0
4341,1,@Omgitstamz this ho Korina is craycray.,0.0,0.0
2146,2,*after BO1 RT @TheGodWriter_: @iDocLyfe Bruh lol I retired after mw2 because everything was trash afterwards.,2.702305200157679,0.1
6758,1,"@neiltyson Neil, have you heard that scientists have discovered that, in fact, bitches do be trippin?",2.3158774327352862,0.1
19576,2,RT @lordemusic: i am so pleased and proud to have been announced the sole curator of the soundtrack for MOCKINGJAY - PART 1,-0.5610328470201654,0.1
6993,2,@schola_gomes oh I'll make you some brownies alright;))),1.3350096278739554,0.1
17273,1,"RT @Shawnzie3: Foxtrot
Uniform
Charlie
Kilo.",1.609446473575716,0.1
4305,1,@NurbsTheOcho8 @tori_mills02 not dykes or anything&#128111;&#128539;&#128109;,0.8624142045207909,0.1
4301,1,@Noworriezzzz basically we're mad at them for being hoes,1.223783992763731,0.1
4378,0,@PablyAndrew it was Paul McCartney faggot,0.4422529207530762,0.1
6926,1,"@rickahyatt @donaldbroom @Poysti 
That bastard Obama is giving them to the f-ing wetbacks.",1.2767996685393934,0.1
4329,1,"@Of_Angelis yep, which is messier/more dangerous/more environmentally-unfriendly than their retarded new spouts. @innov82bgr8",0.7692466093006156,0.1
4298,0,@NotoriousBM95 @gezus__ @Rodriguez5_ your getting blocked faggot,-0.3794810605632885,0.1
17285,1,RT @SheeeRatchet: When you and your boys discover a hoe&#128514;&#128514;&#128514; https://t.co/QHoHalWQJ2,0.035479155722472,0.1
17294,1,RT @SheswantstheD: these hoes ain't loyal http://t.co/6xRobDfZtk,1.223783992763731,0.1
14353,1,RT @BestOfNike: Nike beanies #NikePorn http://t.co/nN4Vo90htj,-2.5649407963199216,0.1
1034,1,&#128553;&#128557; RT @KingHov1313: Fox8 got dem bitches huh!&#128588;&#128588;&#128588;&#128588;&#128588;&#128588;,2.5455398327460506,0.1
2079,1,' Ma niggah Alsina be doin his thang . http://t.co/IZA7Lil1Oz,0.2231521124558252,0.1
1037,1,&#128557; RT @KingHov1313: I be thinkin Errbody wanna give me some pussy!&#128553;,1.185616646666229,0.1
984,1,&#128514;&#128514;&#128514; RT @A2daO: When a dyke get pregnant by mistake &gt;&gt;&gt;&gt;&gt;,0.3231612281742531,0.1
19581,1,"RT @louiev_: LMAOOOO RT @TAN1AAA: White people lmaoo RT @sexxielexxie: Filth. RT @SoloChills: When she says ""Come get this pussy"" https://t&#8230;",4.290326615294282,0.1
2166,1,-5 RT @LoveMeDarlingg: 10. How many hoes do you REALLY have?,1.406114110699301,0.1
17238,1,"RT @SenorSteez: These hoes ain't loyal mane, they rotate",1.223783992763731,0.1
17068,1,RT @RealSexAddicts: Wet&#128166; &amp; warm &#9832;&#65039; pussy &#128553;&#128525;,0.847306421528819,0.1
17281,1,RT @SheScreams_Mami: These hoes ain't loyal&#128581;&#128175;&#128076;,1.223783992763731,0.1
23314,1,"You got dykes, I got the Vic's",0.6654147117550229,0.1
19645,2,RT @maycie32: @Whitecholo23 np big nig nig,-0.5360767293836133,0.1
19646,1,RT @maycie32: @Whitecholo23 ya by being your bitch;),2.5455398327460506,0.1
19622,2,RT @magicjuice: #giantduck #pittsburghduck #yellow #livestream #wpxi #nofliter @ Duckburgh http://t.co/AnAX2lzcRi,-0.4054565469665491,0.1
9639,1,Half these bitches be playin because but im far from a lamee,2.868692499778688,0.1
21989,1,"This bitch lmao ""Steve Wilkos be goin on mfs &#128553;&#128514;"" https://t.co/AgQwqzwTZX",5.030455043675666,0.1
2104,1,"' South Central niggahs really don't be lovin these hoes , these hoes don't be lovin these niggahs &#1041233; . We just be... http://t.co/XnTftnwuVD",0.8902762608115391,0.1
19517,1,RT @lifewitRy_: where these bitches at &#128555;&#128525;&#128525;&#128525; http://t.co/I8zxwKXk71,2.5455398327460506,0.1
19621,1,RT @madstatic414: @SauleWright @GQ_Blu Lana......it ain't nuttin' ta fuck that bitch dawg! #FROHorsemen,5.825384918545554,0.1
4207,1,"@MyKat_Meows some blockhead hoe, she ain't nothing,boo",1.223783992763731,0.1
4204,1,@MyButtSweats ay nigguh so when ya coming back,-1.0986037275264944,0.1
17268,1,RT @ShamarGotHoes: These hoes... Smh http://t.co/PRr9JkrBSp,1.223783992763731,0.1
992,1,&#128514;&#128514;&#128514;&#128514; @shoota1017 bitch was mad af https://t.co/9C4i4W7Q7D,2.5455398327460506,0.1
19506,1,RT @lesbolife: when some bitch flirts with bae http://t.co/vDDth2Mq1I,2.5455398327460506,0.1
6917,1,@renfro_tiffany @ADawg2016 adawg getcho ghetto booty up,0.6931557417015607,0.1
4181,1,"@MrMooncricket @FuckTheMallcops @JimTalbot1963 @theharris338 work, is something adults do for money, not borrow from money... Broke bitch",1.1804506741733478,0.1
17099,1,RT @RickyNgan: These hoes is thotful,1.223783992763731,0.1
6975,1,"@saucygyro bamoose the prophet was right ""thy hoes ain't loyal"" http://t.co/wOxmzRZbrb",1.7322056312659533,0.1
4198,1,"@MsMyaG yep, them bitches are dumb af....loyal but dumb lol",2.5455398327460506,0.1
17100,1,RT @RickyNgan: Y'all hoes ain't slick,1.223783992763731,0.1
12472,2,Little bitty bumble bee&#128029;&#128029; #bumblebee http://t.co/WgYL5UpjQq,-0.0935174968692081,0.1
17079,1,RT @RedScareBot: Commie &amp;#9773; Mints RT @_whiteponyjr_ F#@!kkk this faggot commie http://t.co/lnqNpChciA,3.5835360607393407,0.1
13523,1,"Of all the lazy bitches, I was the laziest today #noregrets",3.2109545445010736,0.1
21919,2,"This Isn't Murica, Charlie Brown. #rejectedpeanutsspecials",-0.579809934111327,0.1
19524,1,RT @lildurk_: Dese hoes be actin up,1.223783992763731,0.1
17077,1,RT @RedBone9922: These hoes ain't loyal &#128588;,1.223783992763731,0.1
17108,1,RT @Rileyy_Babyyy: How you pressed over some pussy you never had &#128064;? &#128514;&#128514;&#128514;,0.5894858733683347,0.1
6764,1,@nick_scott25 come watch Godzilla then faggot,-1.3121778278245535,0.1
6894,1,@ravingrave @TheKevShow504 @eeegggiiiaaaP that's Kevin with the hoes &#128514;&#128514;,1.223783992763731,0.1
